Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Advance as a Digital Marketing Specialist,"Develop your digital marketing skills to effectively create new opportunities for your business as a digital marketing specialist. From customer touch points and content strategy to SEO and analytics, this path guides you through the best practices and principles of digital marketing.",Learning Path,2022-01-03 10:54 UTC,N/A,false,N/A,
Unreal Essential Training (2019),"Unreal isn’t just for gaming anymore. Industries such as automotive design, architecture, healthcare, and education are embracing the real-time development tools for creating engaging and interactive visuals. Unreal Engine can power it all. In this course, Simon Manning teaches the essential skills you need to build immersive user experiences of all kinds with Unreal Engine 4, including lighting, effects, and visual scripting. He covers creating your first project, building a base landscape, blocking out levels, and importing assets for use in the design. Want to find out how to craft a unique look? Learn about working with materials, post-processing effects, and particle systems in Unreal. Plus, find out how to optimize the performance for your projects and package projects for distribution.",Course,2022-02-01 07:49 UTC,N/A,false,N/A,
Learning Soldering for Electronics,"In an electronic product such as a cell phone, toy, or automobile, electronic components are attached using solder, a metal compound that melts at a low-enough temperature to be able to be worked by hand or machine. Whether you are prototyping a new product, manufacturing a product at scale, or working on a project in your spare time, you will need to learn how to solder in order to create the electrical and mechanical connections that make it all work. In this course, learn about the tools and techniques needed to make great solder connections. Plus, get troubleshooting tips, including how to fix a cold solder joint and repair a mistake in a PCB.",Course,2021-07-02 05:34 UTC,N/A,false,N/A,
"Becoming an Agile Leader: Mastering the Mindset, Skills, and Strategies to Succeed","Agile environments present some unique challenges and opportunities for leadership. In this course, instructor Kelley O’Connell covers leadership definitions, agile leadership objectives and techniques, and leadership stabilization. Kelley explains why leadership is necessary in agile environments, then goes over traditional leadership functions and how agile leadership is different. She defines essential new leadership skills and discusses how you can transform yourself into an agile leader and help your team and organization shift successfully to agile, as well. Kelley describes key agile leadership techniques, then concludes by sharing ways you can establish team values, apply organizational strategy, define priorities, and more.",Course,2021-10-13 13:12 UTC,N/A,false,N/A,
Hands-On Advanced Python: Data Engineering Basics,"Looking to get up to speed with advanced coding skills in Python? This course was made for you. Join instructor Joe Marini in this hands-on, interactive, skills-first coding course designed for advanced-level Python developers. Explore critical Python coding skills to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Joe helps you develop your skills as a Python programmer with five specific, data-focused coding challenges. Practice parsing and exploring data, working with collections, math and statistics, and more.",Course,2024-04-16 11:22 UTC,N/A,false,N/A,
Learning Video Lighting,"In any shooting situation, the existing lighting is rarely perfect as-is, especially for photographing people in a flattering way. Knowing how to control the available light, and add additional light, is key to ensuring your subject looks as good as possible on video. Understanding the core concepts of lighting, and how to control them will result in more beautiful and compelling images.
<br><br>
In this course, Mark W. Gray teaches the fundamentals of portrait lighting, including standard three-point lighting setups, how to light for specific subjects, and how to deal with the challenges of location shooting. He shows you the effect of big and small lighting changes, including angle, intensity, and color temperature. He discusses the various types of lighting equipment available, providing both professional options and affordable options. Mark also demonstrates how to go beyond the standard setup to achieve a variety of outcomes.",Course,2018-11-04 22:20 UTC,N/A,false,N/A,
Courageous Leadership,"<p>Leading today requires the courage to take risks, innovate, challenge the status-quo, and create a work culture where everyone can be themselves and thrive. In this course, join instructor Sharon Amesu to develop key leadership strategies and find out what it means to become a truly courageous leader.</p><p>Gather practical, easy-to-apply insights drawn from Sharon’s lived experiences and global point of view on how to develop personal courage, cultivate courage through self-discovery, and communicate more courageously as a leader. By the end of this course, you’ll also be equipped with new skills to sustain your leadership courage in any professional or personal context.</p>",Course,2024-10-11 06:15 UTC,N/A,false,N/A,
Learning Excel 2019,"Microsoft Excel puts a wealth of functionality at your fingertips. This course was designed to focus on the most essential of these functions, covering the features and capabilities that brand-new users need to get going with the 2019 version of Excel. Instructor David Rivers covers creating and opening workbooks, entering text and numbers, working with formulas, basic formatting, inserting charts, and sharing and printing workbooks. Upon wrapping up this course, you'll have the skills you need to start building easy-to-use, accurate spreadsheets with this hugely popular program.",Course,2021-01-15 11:33 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2020-10-19 16:53 UTC,N/A,false,N/A,
Fusion 360 Modeling Techniques and Workflow,"Fusion 360 is an essential tool for product design. In this course, designer Aram Goganian of Predator Cycling teaches viewers critical techniques for building shape-based models that can be easily modified during the design process in Fusion 360. First, learn how to use a sketch as the initial building block for your geometry. Then discover how to use the Fusion surface modeling tools—Extrude, Offset, Stitch, Sweep, and more—to transform your sketch into 3D bodies. Aram also shows how to make cuts with the Pipe and Split tools. Plus, learn how to import parts for your design from third-party STEP files, create smooth shapes with T-splines, and join components parts into a cohesive assembly. Check out the bonus chapter, which includes tips for importing models from external sites to supercharge your Fusion 360 workflow.",Course,N/A,N/A,true,N/A,
